City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
103,Luorong,24.4058,109.6086,78.22,69,86,2.95,CN,overcast clouds
104,Bengkulu,-3.8004,102.2655,76.3,88,100,3.94,ID,overcast clouds
105,Hermanus,-34.4187,19.2345,71.01,67,15,7.0,ZA,few clouds
106,Ayr,55.4627,-4.6339,59.0,67,40,14.97,GB,scattered clouds
107,Sinnamary,5.3833,-52.95,80.44,81,73,14.0,GF,broken clouds
108,Sanming,26.2486,117.6186,75.13,90,100,0.58,CN,moderate rain
109,Sechura,-5.5569,-80.8222,77.0,62,26,7.43,PE,scattered clouds
110,Ahipara,-35.1667,173.1667,64.87,96,55,4.25,NZ,broken clouds
111,San Patricio,28.017,-97.5169,73.99,100,90,17.27,US,light intensity drizzle
112,Nikolskoye,59.7035,30.7861,48.2,81,90,6.71,RU,overcast clouds
113,Kavieng,-2.5744,150.7967,81.3,79,100,8.99,PG,light rain
114,Storforshei,66.4043,14.5233,41.0,93,75,6.91,NO,broken clouds
115,Khatanga,71.9667,102.5,-27.65,98,9,9.64,RU,clear sky
116,Ponta Do Sol,32.6667,-17.1,66.2,77,75,4.61,PT,broken clouds
117,Codrington,-38.2667,141.9667,56.59,93,60,1.77,AU,broken clouds
118,Nioro,13.35,-15.75,99.9,12,53,8.23,GM,broken clouds
119,Severo-Kurilsk,50.6789,156.125,34.79,95,100,7.61,RU,overcast clouds
120,Avarua,-21.2078,-159.775,77.0,88,20,5.75,CK,light rain
121,Yakima,46.4665,-120.6678,35.01,64,1,1.79,US,clear sky
122,Owando,-0.4819,15.8999,85.15,62,71,4.32,CG,broken clouds
123,Derbent,42.0678,48.2899,46.83,84,24,8.46,RU,few clouds
124,Roebourne,-20.7833,117.1333,86.41,59,36,4.94,AU,light rain
125,Richards Bay,-28.783,32.0377,73.81,74,62,10.2,ZA,broken clouds
126,Castro,-24.7911,-50.0119,65.41,88,100,6.89,BR,light rain
127,Bonavista,48.6499,-53.1147,32.0,50,100,16.11,CA,overcast clouds
128,Saskylakh,71.9167,114.0833,-32.85,100,100,6.13,RU,overcast clouds
129,Narsaq,60.9167,-46.05,41.0,45,75,21.85,GL,snow
130,Ferme-Neuve,46.7001,-75.4493,44.6,49,100,12.66,CA,overcast clouds
131,Vyshneve,50.3891,30.3705,54.0,40,0,4.47,UA,clear sky
132,Fairbanks,64.8378,-147.7164,26.6,86,90,3.44,US,overcast clouds
133,Sakakah,29.9697,40.2064,80.6,10,10,18.41,SA,clear sky
134,Port Blair,11.6667,92.75,79.74,73,98,4.25,IN,overcast clouds
