City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Boguchany,RU,2021-03-29 19:51:46,58.3814,97.4531,25.97,98,100,2.82
117,Essau,GM,2021-03-29 19:51:47,13.4839,-16.5347,73.4,64,0,16.11
118,Sao Filipe,CV,2021-03-29 19:51:47,14.8961,-24.4956,70.11,74,59,15.43
119,Dwarka,IN,2021-03-29 19:51:47,22.2394,68.9678,78.46,82,3,13.22
120,Clyde River,CA,2021-03-29 19:51:48,70.4692,-68.5914,-2.2,78,75,8.05
121,Saskylakh,RU,2021-03-29 19:51:48,71.9167,114.0833,-15.32,98,99,6.53
122,Srednekolymsk,RU,2021-03-29 19:51:48,67.45,153.6833,-14.94,99,68,3.94
123,Hobart,AU,2021-03-29 19:49:04,-42.8794,147.3294,52.0,81,0,3.44
124,Kutum,SD,2021-03-29 19:51:49,14.2,24.6667,67.95,11,0,14.92
125,Zalegoshch,RU,2021-03-29 19:51:49,52.9008,36.8869,19.18,98,60,5.1
126,Kangaatsiaq,GL,2021-03-29 19:51:50,68.3065,-53.4641,6.33,72,98,11.81
127,Qaanaaq,GL,2021-03-29 19:51:50,77.484,-69.3632,-13.49,74,43,6.69
128,Esperance,AU,2021-03-29 19:51:50,-33.8667,121.9,80.6,26,33,13.8
129,Ogulin,HR,2021-03-29 19:51:51,45.2661,15.2286,55.4,76,0,4.61
130,Mocorito,MX,2021-03-29 19:51:51,25.4833,-107.9167,96.87,8,58,7.34
131,Meulaboh,ID,2021-03-29 19:51:51,4.1363,96.1285,75.07,94,100,6.13
132,Hobyo,SO,2021-03-29 19:51:52,5.3505,48.5268,80.42,74,58,9.95
133,Haines Junction,CA,2021-03-29 19:51:52,60.7522,-137.5108,28.4,31,88,1.83
134,Jamestown,US,2021-03-29 19:51:52,42.097,-79.2353,44.01,60,40,9.69
135,Vallenar,CL,2021-03-29 19:51:53,-28.5708,-70.7581,81.86,26,0,8.34
136,Hambantota,LK,2021-03-29 19:51:53,6.1241,81.1185,76.24,87,100,14.07
137,Nakusp,CA,2021-03-29 19:51:53,50.2499,-117.8023,35.6,35,100,8.05
138,Kyra,RU,2021-03-29 19:51:54,49.5776,111.9753,33.64,40,100,3.29
139,Gasa,PS,2021-03-29 19:51:54,31.5,34.4667,57.0,100,1,11.18
140,Talnakh,RU,2021-03-29 19:51:55,69.4865,88.3972,-20.79,99,26,3.53
141,Hasaki,JP,2021-03-29 19:51:55,35.7333,140.8333,57.2,88,75,6.91
142,Norman Wells,CA,2021-03-29 19:51:55,65.282,-126.8329,1.4,55,75,12.66
143,Tura,IN,2021-03-29 19:51:56,25.5198,90.2201,74.01,53,78,5.95
144,Mancio Lima,BR,2021-03-29 19:51:56,-7.6142,-72.8958,77.0,100,90,4.61
145,Beidao,CN,2021-03-29 19:51:57,34.5686,105.8933,54.25,63,7,4.99
146,East London,ZA,2021-03-29 19:51:57,-33.0153,27.9116,69.37,84,100,19.66
147,Onega,RU,2021-03-29 19:51:57,63.9061,38.1404,36.36,82,100,15.05
148,Kurilsk,RU,2021-03-29 19:51:58,45.2333,147.8833,36.25,97,69,9.22
149,Cherskiy,RU,2021-03-29 19:51:58,68.75,161.3,-7.6,98,100,7.11
150,Jimani,DO,2021-03-29 19:51:58,18.4917,-71.8502,93.2,36,20,19.57
151,Labuhan,ID,2021-03-29 19:51:59,-6.8844,112.2051,78.26,86,57,3.49
152,Kununurra,AU,2021-03-29 19:51:59,-15.7667,128.7333,77.0,78,100,6.91
153,Gazanjyk,TM,2021-03-29 19:51:59,39.2446,55.5154,51.08,50,3,6.06
