City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,Hilo,US,69.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
72,Tuatapere,NZ,55.0,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
73,Muros,ES,72.0,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
74,Tefe,BR,84.2,scattered clouds,-3.3542,-64.7114,Aracati Hotel
75,Mar Del Plata,AR,62.6,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Jammu,IN,78.8,few clouds,32.7333,74.8667,Capital O 70173 Hotel Premier
79,Puerto Ayora,EC,80.6,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,East London,ZA,75.2,clear sky,-33.0153,27.9116,Tu Casa
83,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
84,San Miguel Chicaj,GT,69.8,mist,15.1,-90.4,Parque Central
85,Busselton,AU,63.0,overcast clouds,-33.65,115.3333,Observatory Guest House
86,Angoche,MZ,79.09,overcast clouds,-16.2325,39.9086,Guest House HESADA
87,Cape Town,ZA,71.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
90,Peniche,PT,73.0,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
91,Lebu,CL,61.97,broken clouds,-37.6167,-73.65,Hostal Las Lilas
92,Pisco,PE,75.2,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
95,Faanui,PF,81.34,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Bermejo,AR,71.6,clear sky,-32.8833,-68.8,Muras Apart Hotel
100,Esperance,AU,82.4,scattered clouds,-33.8667,121.9,Hospitality Esperance
101,Kavaratti,IN,84.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
103,Luorong,CN,78.22,overcast clouds,24.4058,109.6086,荣立大酒店
104,Bengkulu,ID,76.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
105,Hermanus,ZA,71.01,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
106,Ayr,GB,59.0,scattered clouds,55.4627,-4.6339,Mercure Ayr Hotel
107,Sinnamary,GF,80.44,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
108,Sanming,CN,75.13,moderate rain,26.2486,117.6186,Sanming Huangting Lijing Hotel
109,Sechura,PE,77.0,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
110,Ahipara,NZ,64.87,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
111,San Patricio,US,73.99,light intensity drizzle,28.017,-97.5169,"Motel 6 Sinton, TX"
113,Kavieng,PG,81.3,light rain,-2.5744,150.7967,Nusa Island Retreat
116,Ponta Do Sol,PT,66.2,broken clouds,32.6667,-17.1,Hotel do Campo
117,Codrington,AU,56.59,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
120,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
125,Richards Bay,ZA,73.81,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
126,Castro,BR,65.41,light rain,-24.7911,-50.0119,CHACARA BAILLY
131,Vyshneve,UA,54.0,clear sky,50.3891,30.3705,Sofiyivsʹkyy Posad
133,Sakakah,SA,80.6,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
134,Port Blair,IN,79.74,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
135,Taltal,CL,69.44,clear sky,-25.4,-70.4833,Residencial Karime
138,Katsuura,JP,62.01,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
141,Tarpon Springs,US,81.0,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
142,Nago,JP,71.6,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
144,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
